Index,ADS_Index
1960/3/1,-0.571972
1960/3/2,-0.620558
1960/3/3,-0.666064
1960/3/4,-0.70851
1960/3/5,-0.747911
1960/3/6,-0.784283
1960/3/7,-0.817639
1960/3/8,-0.847992
1960/3/9,-0.875354
1960/3/10,-0.899734
1960/3/11,-0.921144
1960/3/12,-0.939589
1960/3/13,-0.955079
1960/3/14,-0.967618
1960/3/15,-0.977212
1960/3/16,-0.983864
1960/3/17,-0.987576
1960/3/18,-0.988351
1960/3/19,-0.986188
1960/3/20,-0.981086
1960/3/21,-0.973044
1960/3/22,-0.962058
1960/3/23,-0.948125
1960/3/24,-0.931239
1960/3/25,-0.911393
1960/3/26,-0.888581
1960/3/27,-0.862792
1960/3/28,-0.834018
1960/3/29,-0.802247
1960/3/30,-0.767467
1960/3/31,-0.729665
1960/4/1,-0.688827
1960/4/2,-0.651364
1960/4/3,-0.617264
1960/4/4,-0.586512
1960/4/5,-0.559096
1960/4/6,-0.535007
1960/4/7,-0.514235
1960/4/8,-0.496773
1960/4/9,-0.482613
1960/4/10,-0.47175
1960/4/11,-0.46418
1960/4/12,-0.4599
1960/4/13,-0.458909
1960/4/14,-0.461205
1960/4/15,-0.466791
1960/4/16,-0.475667
1960/4/17,-0.487838
1960/4/18,-0.503308
1960/4/19,-0.522083
1960/4/20,-0.544171
1960/4/21,-0.569579
1960/4/22,-0.598317
1960/4/23,-0.630397
1960/4/24,-0.66583
1960/4/25,-0.704631
1960/4/26,-0.746814
1960/4/27,-0.792394
1960/4/28,-0.841391
1960/4/29,-0.893822
1960/4/30,-0.949707
1960/5/1,-1.00907
1960/5/2,-1.06612
1960/5/3,-1.12087
1960/5/4,-1.17336
1960/5/5,-1.22359
1960/5/6,-1.2716
1960/5/7,-1.31739
1960/5/8,-1.36098
1960/5/9,-1.4024
1960/5/10,-1.44165
1960/5/11,-1.47876
1960/5/12,-1.51373
1960/5/13,-1.54658
1960/5/14,-1.57733
1960/5/15,-1.60598
1960/5/16,-1.63254
1960/5/17,-1.65703
1960/5/18,-1.67945
1960/5/19,-1.69982
1960/5/20,-1.71813
1960/5/21,-1.73441
1960/5/22,-1.74865
1960/5/23,-1.76085
1960/5/24,-1.77104
1960/5/25,-1.7792
1960/5/26,-1.78534
1960/5/27,-1.78947
1960/5/28,-1.79158
1960/5/29,-1.79167
1960/5/30,-1.78976
1960/5/31,-1.78582
1960/6/1,-1.77988
1960/6/2,-1.7732
1960/6/3,-1.7658
1960/6/4,-1.75767
1960/6/5,-1.7488
1960/6/6,-1.7392
1960/6/7,-1.72886
1960/6/8,-1.71777
1960/6/9,-1.70593
1960/6/10,-1.69334
1960/6/11,-1.67999
1960/6/12,-1.66587
1960/6/13,-1.65099
1960/6/14,-1.63533
1960/6/15,-1.6189
1960/6/16,-1.60167
1960/6/17,-1.58365
1960/6/18,-1.56484
1960/6/19,-1.54521
1960/6/20,-1.52477
1960/6/21,-1.5035
1960/6/22,-1.48141
1960/6/23,-1.45848
1960/6/24,-1.43469
1960/6/25,-1.41005
1960/6/26,-1.38455
1960/6/27,-1.35816
1960/6/28,-1.33089
1960/6/29,-1.30272
1960/6/30,-1.27365
1960/7/1,-1.24366
1960/7/2,-1.21458
1960/7/3,-1.18641
1960/7/4,-1.15913
1960/7/5,-1.13274
1960/7/6,-1.10722
1960/7/7,-1.08257
1960/7/8,-1.05877
1960/7/9,-1.03582
1960/7/10,-1.01371
1960/7/11,-0.992428
1960/7/12,-0.971965
1960/7/13,-0.952315
1960/7/14,-0.933471
1960/7/15,-0.915425
1960/7/16,-0.898171
1960/7/17,-0.881701
1960/7/18,-0.86601
1960/7/19,-0.851092
1960/7/20,-0.83694
1960/7/21,-0.82355
1960/7/22,-0.810916
1960/7/23,-0.799033
1960/7/24,-0.787898
1960/7/25,-0.777505
1960/7/26,-0.767851
1960/7/27,-0.758931
1960/7/28,-0.750744
1960/7/29,-0.743285
1960/7/30,-0.736551
1960/7/31,-0.730541
1960/8/1,-0.725251
1960/8/2,-0.720815
1960/8/3,-0.71723
1960/8/4,-0.714497
1960/8/5,-0.712613
1960/8/6,-0.711578
1960/8/7,-0.711391
1960/8/8,-0.712053
1960/8/9,-0.713564
1960/8/10,-0.715923
1960/8/11,-0.719133
1960/8/12,-0.723194
1960/8/13,-0.728109
1960/8/14,-0.733877
1960/8/15,-0.740503
1960/8/16,-0.747989
1960/8/17,-0.756337
1960/8/18,-0.76555
1960/8/19,-0.775633
1960/8/20,-0.786588
1960/8/21,-0.798421
1960/8/22,-0.811135
1960/8/23,-0.824736
1960/8/24,-0.839229
1960/8/25,-0.854619
1960/8/26,-0.870912
1960/8/27,-0.888114
1960/8/28,-0.906233
1960/8/29,-0.925274
1960/8/30,-0.945246
1960/8/31,-0.966155
1960/9/1,-0.988011
1960/9/2,-1.00873
1960/9/3,-1.02831
1960/9/4,-1.04676
1960/9/5,-1.0641
1960/9/6,-1.08033
1960/9/7,-1.09545
1960/9/8,-1.10946
1960/9/9,-1.12239
1960/9/10,-1.13423
1960/9/11,-1.14498
1960/9/12,-1.15465
1960/9/13,-1.16324
1960/9/14,-1.17076
1960/9/15,-1.17721
1960/9/16,-1.18259
1960/9/17,-1.1869
1960/9/18,-1.19015
1960/9/19,-1.19233
1960/9/20,-1.19345
1960/9/21,-1.19351
1960/9/22,-1.19251
1960/9/23,-1.19044
1960/9/24,-1.18731
1960/9/25,-1.18311
1960/9/26,-1.17785
1960/9/27,-1.17152
1960/9/28,-1.16412
1960/9/29,-1.15565
1960/9/30,-1.1461
1960/10/1,-1.13547
1960/10/2,-1.12661
1960/10/3,-1.11953
1960/10/4,-1.11421
1960/10/5,-1.11066
1960/10/6,-1.10887
1960/10/7,-1.10884
1960/10/8,-1.11058
1960/10/9,-1.11409
1960/10/10,-1.11936
1960/10/11,-1.12639
1960/10/12,-1.1352
1960/10/13,-1.14579
1960/10/14,-1.15815
1960/10/15,-1.17229
1960/10/16,-1.18822
1960/10/17,-1.20595
1960/10/18,-1.22547
1960/10/19,-1.24681
1960/10/20,-1.26996
1960/10/21,-1.29494
1960/10/22,-1.32175
1960/10/23,-1.3504
1960/10/24,-1.38092
1960/10/25,-1.4133
1960/10/26,-1.44756
1960/10/27,-1.48372
1960/10/28,-1.52178
1960/10/29,-1.56176
1960/10/30,-1.60368
1960/10/31,-1.64756
1960/11/1,-1.6934
1960/11/2,-1.73813
1960/11/3,-1.78177
1960/11/4,-1.82433
1960/11/5,-1.86582
1960/11/6,-1.90627
1960/11/7,-1.94569
1960/11/8,-1.98409
1960/11/9,-2.02149
1960/11/10,-2.0579
1960/11/11,-2.09334
1960/11/12,-2.12782
1960/11/13,-2.16135
1960/11/14,-2.19395
1960/11/15,-2.22563
1960/11/16,-2.2564
1960/11/17,-2.28627
1960/11/18,-2.31526
1960/11/19,-2.34337
1960/11/20,-2.37062
1960/11/21,-2.39701
1960/11/22,-2.42256
1960/11/23,-2.44728
1960/11/24,-2.47117
1960/11/25,-2.49425
1960/11/26,-2.51652
1960/11/27,-2.538
1960/11/28,-2.55868
1960/11/29,-2.57859
1960/11/30,-2.59771
1960/12/1,-2.61608
1960/12/2,-2.63137
1960/12/3,-2.64359
1960/12/4,-2.65276
1960/12/5,-2.65887
1960/12/6,-2.66192
1960/12/7,-2.66192
1960/12/8,-2.65887
1960/12/9,-2.65276
1960/12/10,-2.64359
