DATE,GDP
1947/3/1,243.164
1947/6/1,245.968
1947/9/1,249.585
1947/12/1,259.745
1948/3/1,265.742
1948/6/1,272.567
1948/9/1,279.196
1948/12/1,280.366
1949/3/1,275.034
1949/6/1,271.351
1949/9/1,272.889
1949/12/1,270.627
1950/3/1,280.828
1950/6/1,290.383
1950/9/1,308.153
1950/12/1,319.945
1951/3/1,336
1951/6/1,344.09
1951/9/1,351.385
1951/12/1,356.178
1952/3/1,359.82
1952/6/1,361.03
1952/9/1,367.701
1952/12/1,380.812
1953/3/1,387.98
1953/6/1,391.749
1953/9/1,391.171
1953/12/1,385.97
1954/3/1,385.345
1954/6/1,386.121
1954/9/1,390.996
1954/12/1,399.734
1955/3/1,413.073
1955/6/1,421.532
1955/9/1,430.221
1955/12/1,437.092
1956/3/1,439.746
1956/6/1,446.01
1956/9/1,451.191
1956/12/1,460.463
1957/3/1,469.779
1957/6/1,472.025
1957/9/1,479.49
1957/12/1,474.864
1958/3/1,467.54
1958/6/1,471.978
1958/9/1,485.841
1958/12/1,499.555
1959/3/1,510.33
1959/6/1,522.653
1959/9/1,525.034
1959/12/1,528.6
1960/3/1,542.648
1960/6/1,541.08
1960/9/1,545.604
1960/12/1,540.197
1961/3/1,545.018
1961/6/1,555.545
1961/9/1,567.664
1961/12/1,580.612
1962/3/1,594.013
1962/6/1,600.366
1962/9/1,609.027
1962/12/1,612.28
1963/3/1,621.672
1963/6/1,629.752
1963/9/1,644.444
1963/12/1,653.938
1964/3/1,669.822
1964/6/1,678.674
1964/9/1,692.031
1964/12/1,697.319
1965/3/1,717.79
1965/6/1,730.191
1965/9/1,749.323
1965/12/1,771.857
1966/3/1,795.734
1966/6/1,804.981
1966/9/1,819.638
1966/12/1,833.302
1967/3/1,844.17
1967/6/1,848.983
1967/9/1,865.233
1967/12/1,881.439
1968/3/1,909.387
1968/6/1,934.344
1968/9/1,950.825
1968/12/1,968.03
1969/3/1,993.337
1969/6/1,1009.02
1969/9/1,1029.956
1969/12/1,1038.147
1970/3/1,1051.2
