Date,State
1959/3/1,2
1959/6/1,2
1959/9/1,2
1959/12/1,2
1960/3/1,2
1960/6/1,1
1960/9/1,1
1960/12/1,1
1961/3/1,1
1961/6/1,2
1961/9/1,2
1961/12/1,2
1962/3/1,2
1962/6/1,2
1962/9/1,2
1962/12/1,2
1963/3/1,2
1963/6/1,2
1963/9/1,2
1963/12/1,2
1964/3/1,2
1964/6/1,2
1964/9/1,2
1964/12/1,2
1965/3/1,2
1965/6/1,2
1965/9/1,2
1965/12/1,2
1966/3/1,2
1966/6/1,2
1966/9/1,2
1966/12/1,2
1967/3/1,2
1967/6/1,2
1967/9/1,2
1967/12/1,2
1968/3/1,2
1968/6/1,2
1968/9/1,2
1968/12/1,2
1969/3/1,2
1969/6/1,1
1969/9/1,1
1969/12/1,1
1970/3/1,1
1970/6/1,1
1970/9/1,1
1970/12/1,1
1971/3/1,2
1971/6/1,2
1971/9/1,2
1971/12/1,2
1972/3/1,2
1972/6/1,2
1972/9/1,2
1972/12/1,2
1973/3/1,2
1973/6/1,2
1973/9/1,2
1973/12/1,1
1974/3/1,1
1974/6/1,1
1974/9/1,1
1974/12/1,1
1975/3/1,1
1975/6/1,2
1975/9/1,2
1975/12/1,2
1976/3/1,2
1976/6/1,2
1976/9/1,2
1976/12/1,2
1977/3/1,2
1977/6/1,2
1977/9/1,2
1977/12/1,2
1978/3/1,2
1978/6/1,2
1978/9/1,2
1978/12/1,2
1979/3/1,1
1979/6/1,1
1979/9/1,1
1979/12/1,1
1980/3/1,1
1980/6/1,1
1980/9/1,1
1980/12/1,1
1981/3/1,1
1981/6/1,1
1981/9/1,1
1981/12/1,1
1982/3/1,1
1982/6/1,1
1982/9/1,1
1982/12/1,1
1983/3/1,2
1983/6/1,2
1983/9/1,2
1983/12/1,2
1984/3/1,2
1984/6/1,2
1984/9/1,2
1984/12/1,2
1985/3/1,2
1985/6/1,2
1985/9/1,2
1985/12/1,2
1986/3/1,2
1986/6/1,2
1986/9/1,2
1986/12/1,2
1987/3/1,2
1987/6/1,2
1987/9/1,2
1987/12/1,2
1988/3/1,2
1988/6/1,2
1988/9/1,2
1988/12/1,2
1989/3/1,2
1989/6/1,2
1989/9/1,2
1989/12/1,2
1990/3/1,2
1990/6/1,1
1990/9/1,1
1990/12/1,1
1991/3/1,1
1991/6/1,1
1991/9/1,2
1991/12/1,2
1992/3/1,2
1992/6/1,2
1992/9/1,2
1992/12/1,2
1993/3/1,2
1993/6/1,2
1993/9/1,2
1993/12/1,2
1994/3/1,2
1994/6/1,2
1994/9/1,2
1994/12/1,2
1995/3/1,2
1995/6/1,2
1995/9/1,2
1995/12/1,2
1996/3/1,2
1996/6/1,2
1996/9/1,2
1996/12/1,2
1997/3/1,2
1997/6/1,2
1997/9/1,2
1997/12/1,2
1998/3/1,2
1998/6/1,2
1998/9/1,2
1998/12/1,2
1999/3/1,2
1999/6/1,2
1999/9/1,2
1999/12/1,2
2000/3/1,2
2000/6/1,2
2000/9/1,1
2000/12/1,1
2001/3/1,1
2001/6/1,1
2001/9/1,1
2001/12/1,2
2002/3/1,2
2002/6/1,2
2002/9/1,2
2002/12/1,2
2003/3/1,2
2003/6/1,2
2003/9/1,2
2003/12/1,2
2004/3/1,2
2004/6/1,2
2004/9/1,2
2004/12/1,2
2005/3/1,2
2005/6/1,2
2005/9/1,2
2005/12/1,2
2006/3/1,2
2006/6/1,2
2006/9/1,2
2006/12/1,2
2007/3/1,2
2007/6/1,2
2007/9/1,2
2007/12/1,2
2008/3/1,1
2008/6/1,1
2008/9/1,1
2008/12/1,1
2009/3/1,1
2009/6/1,1
2009/9/1,1
2009/12/1,1
2010/3/1,1
2010/6/1,2
2010/9/1,2
2010/12/1,2
2011/3/1,2
2011/6/1,2
2011/9/1,2
2011/12/1,2
2012/3/1,2
2012/6/1,2
2012/9/1,2
2012/12/1,2
2013/3/1,2
2013/6/1,2
2013/9/1,2
2013/12/1,2
2014/3/1,2
2014/6/1,2
2014/9/1,2
2014/12/1,2
2015/3/1,2
2015/6/1,2
2015/9/1,2
2015/12/1,2
2016/3/1,2
2016/6/1,2
2016/9/1,2
2016/12/1,2
2017/3/1,2
2017/6/1,2
2017/9/1,2
2017/12/1,2
2018/3/1,2
2018/6/1,2
2018/9/1,2
2018/12/1,2
2019/3/1,2
2019/6/1,2
2019/9/1,2
2019/12/1,2
2020/3/1,1
2020/6/1,1
2020/9/1,1
2020/12/1,2
2021/3/1,2
2021/6/1,2
2021/9/1,2
2021/12/1,2
2022/3/1,2
2022/6/1,2
2022/9/1,2
2022/12/1,2
2023/3/1,2
2023/6/1,2
2023/9/1,2
